,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 14,85.95,83.54,96.42,93.87,95.10,92.44,94.19,93.24,94.00,95.69,96.06,91.36,96.42,100.00,89.93,96.32,94.34,93.13,92.15,95.13,95.19,90.42,76.07,95.27,90.98,85.33,94.52,87.11,94.70,93.66,93.37,95.18,95.40,92.66,95.01,87.03,92.87,95.68,94.85,96.88,93.47,95.71,92.21,95.68,96.17,94.71,93.85,89.17,93.93,86.86,85.80,93.06,94.91,91.45,89.70,76.48,94.56,94.92,96.14,92.80,95.74,90.37,94.37,92.84,95.37,93.77,90.52,95.51,93.16,93.93,88.62,94.60,91.28,93.70,86.75,82.62,71.47,77.54,91.42,91.62,79.10,77.27,88.02,87.12,88.54,88.13,91.38,69.46,66.53,74.95,87.33,68.19,79.49,67.61,69.33,83.23,67.58,91.35,61.57,86.64,83.51,61.43,60.85,86.92,62.11,72.09,68.75,56.14,70.48,82.00,65.91,74.54,73.63,59.10
Surah 15,78.52,80.06,85.90,88.16,89.49,82.78,91.44,86.74,84.95,89.35,88.77,91.37,89.13,89.93,100.00,89.03,88.46,86.35,85.48,89.48,89.35,83.46,74.09,89.62,82.33,87.16,91.38,84.31,88.95,88.32,87.50,89.55,88.17,84.57,85.85,86.90,86.68,91.28,86.79,89.17,90.88,86.81,92.55,89.84,88.52,87.67,88.27,82.13,86.80,89.16,85.34,86.23,89.15,89.88,86.60,79.42,84.53,88.50,88.04,87.74,86.70,79.56,88.34,81.91,89.93,87.86,82.09,88.15,88.87,87.81,82.65,91.08,87.61,88.16,79.40,80.24,71.40,81.82,90.46,87.81,76.81,75.71,85.78,81.38,82.71,83.43,81.26,68.20,59.69,77.31,81.36,59.97,73.24,62.27,70.34,76.61,61.19,86.71,57.28,81.27,81.61,61.36,60.09,81.39,58.77,74.35,67.18,55.03,65.74,74.11,64.33,66.75,65.69,55.51
Surah 16,85.37,84.30,95.70,96.51,96.74,92.26,94.65,94.94,94.51,96.19,97.36,92.74,97.20,96.32,89.03,100.00,94.70,92.10,92.46,95.73,95.84,91.23,75.09,94.59,91.69,84.59,95.29,85.87,95.32,95.53,93.00,96.01,97.49,94.42,95.91,85.78,92.48,96.00,95.92,96.41,94.68,96.94,93.49,96.37,96.29,96.15,92.46,88.30,95.68,87.11,84.29,92.11,94.58,92.32,91.91,75.25,95.97,96.02,95.60,94.28,96.24,89.75,94.43,93.72,95.09,95.01,90.73,97.36,93.97,94.06,87.00,95.03,92.62,93.86,87.20,82.23,68.91,79.50,91.16,91.77,77.95,74.83,86.33,86.24,85.95,88.86,91.27,67.59,67.13,73.51,86.82,68.90,77.80,63.04,67.63,83.96,65.28,90.59,60.09,85.61,84.00,60.05,58.44,86.19,57.34,71.31,66.03,54.35,71.28,78.52,64.82,72.33,71.45,55.01
Surah 17,82.77,78.89,92.29,93.87,93.47,88.69,92.74,90.13,90.77,93.92,94.19,92.89,93.38,94.34,88.46,94.70,100.00,92.16,93.36,94.02,92.89,87.19,72.31,93.27,91.49,84.29,93.20,89.48,91.53,92.35,88.28,92.53,94.51,92.70,92.20,83.04,90.25,94.66,92.10,95.03,93.16,92.29,92.89,93.76,92.93,91.83,91.92,84.79,90.86,88.07,82.72,89.20,93.81,91.43,91.84,76.86,92.54,93.20,93.54,90.30,93.60,87.91,91.27,89.22,92.80,93.60,88.75,93.93,94.82,93.61,88.82,94.19,91.37,91.90,85.00,83.70,68.04,79.29,92.88,90.18,75.81,70.16,84.03,83.68,85.47,89.16,88.56,66.19,65.51,72.81,87.26,65.87,76.03,63.60,64.55,80.86,66.30,89.54,58.35,86.46,83.32,55.55,56.74,84.85,57.91,71.96,65.88,50.01,65.86,77.90,66.88,72.50,69.18,56.44
Surah 18,83.49,82.99,93.20,91.07,91.21,89.79,91.57,91.02,90.34,94.56,93.08,87.45,91.94,93.13,86.35,92.10,92.16,100.00,91.14,90.62,90.69,84.76,79.24,92.08,92.43,85.13,91.40,85.29,92.86,91.35,90.73,90.46,92.79,91.94,92.04,86.48,89.82,93.41,92.13,92.43,88.89,91.26,87.69,91.20,90.58,89.19,94.40,86.33,91.04,85.31,83.30,89.62,92.70,88.90,87.73,77.15,89.63,91.44,93.61,91.26,92.03,89.24,91.86,88.59,91.93,91.85,88.11,92.36,89.17,91.68,84.94,92.64,86.42,90.13,83.65,83.49,72.17,74.57,88.25,88.72,75.54,73.16,86.40,85.19,87.77,86.14,87.36,65.66,64.56,73.63,83.71,64.83,78.68,66.22,69.08,82.72,63.34,88.97,60.43,85.47,80.94,57.04,66.17,84.35,62.99,69.65,69.77,52.12,68.12,82.55,66.18,74.48,69.95,59.16
Surah 19,85.78,83.65,93.28,91.51,89.93,91.69,92.61,91.00,91.96,93.56,92.65,90.00,92.71,92.15,85.48,92.46,93.36,91.14,100.00,93.29,90.92,85.82,78.37,91.06,91.69,84.16,91.83,87.23,90.41,89.65,90.59,92.22,93.94,91.51,92.85,82.60,91.30,92.37,92.49,91.64,89.17,92.96,90.05,93.34,92.80,90.21,90.61,88.58,91.24,85.16,84.51,90.32,92.79,85.96,89.79,78.42,92.14,93.17,93.49,90.57,93.03,90.34,90.79,90.90,90.75,95.52,91.01,92.06,88.98,90.59,89.54,92.35,90.48,91.11,86.13,84.35,71.08,80.37,89.19,88.55,79.66,74.84,82.06,88.18,85.52,86.14,91.16,66.92,67.87,74.00,86.27,65.31,82.33,69.88,63.75,87.06,67.75,87.74,64.72,86.91,80.92,60.80,59.06,82.09,63.19,71.24,68.07,55.29,73.03,83.42,67.60,74.88,72.44,60.22
Surah 20,84.46,84.14,94.63,92.61,94.17,91.57,93.66,91.53,92.70,93.98,94.56,92.88,95.49,95.13,89.48,95.73,94.02,90.62,93.29,100.00,93.83,89.35,74.79,93.37,90.91,85.93,94.53,88.42,92.76,92.40,90.93,95.42,94.32,93.28,93.47,86.25,93.44,94.02,93.81,94.94,93.13,94.10,93.04,94.62,95.86,94.92,91.20,87.24,93.08,86.78,86.16,92.42,95.20,90.36,91.22,78.51,94.38,93.06,94.19,91.90,94.61,87.64,92.03,92.59,94.02,93.21,89.70,94.33,92.00,92.72,87.42,94.06,92.13,93.65,88.25,83.60,71.36,79.89,91.99,92.01,79.95,78.23,86.22,85.91,86.56,90.31,90.76,68.98,67.25,76.40,86.74,67.90,79.52,65.22,69.46,84.53,67.90,88.98,61.86,84.91,84.80,63.59,60.89,86.60,58.90,71.65,67.18,57.43,70.97,78.17,65.54,74.08,72.94,58.18
Surah 21,84.01,85.48,94.97,93.72,94.17,91.38,94.03,92.97,92.80,95.40,95.51,92.10,95.98,95.19,89.35,95.84,92.89,90.69,90.92,93.83,100.00,90.88,76.40,93.83,90.14,86.66,94.37,84.90,94.50,94.20,93.49,94.88,95.21,92.92,94.01,87.83,92.98,96.11,94.09,95.27,94.71,95.31,92.54,95.87,95.10,95.26,91.89,87.48,94.15,88.25,85.16,92.35,95.13,93.57,89.76,75.82,94.06,94.72,94.79,92.29,94.38,88.41,94.63,91.55,93.75,92.98,89.45,96.05,93.49,92.44,86.19,94.59,91.56,93.06,85.15,82.09,70.73,77.82,91.52,90.94,79.01,76.26,87.97,85.60,87.19,87.42,89.95,69.86,66.37,73.65,86.18,67.37,77.54,62.54,67.71,82.95,63.72,89.96,60.59,83.85,83.80,60.90,58.68,85.77,59.50,69.43,67.11,52.24,70.54,78.75,62.95,72.50,71.37,54.67
Surah 22,79.23,79.23,90.70,89.66,89.92,87.18,89.08,87.81,88.40,89.32,90.92,86.28,91.67,90.42,83.46,91.23,87.19,84.76,85.82,89.35,90.88,100.00,70.43,89.91,83.55,80.49,87.64,79.73,88.24,89.36,87.10,90.11,89.78,87.35,89.31,80.90,88.15,90.50,87.97,90.43,87.60,90.38,86.47,90.25,90.23,90.18,86.63,83.88,88.96,83.54,81.85,86.92,90.25,88.31,83.45,73.58,90.29,90.01,90.01,87.45,88.93,81.82,88.82,87.92,89.42,87.94,86.25,89.76,88.09,87.15,81.92,88.13,87.74,89.20,82.77,79.03,66.56,74.66,87.23,85.83,76.65,74.62,81.49,82.00,83.31,83.59,85.35,69.68,63.60,71.01,82.76,63.04,72.07,62.14,64.16,75.96,63.33,82.87,69.98,80.40,79.61,60.65,55.62,80.88,58.71,65.31,59.76,53.05,65.75,74.02,59.44,67.80,67.13,50.79
Surah 23,78.27,89.90,80.25,75.18,71.99,78.83,80.32,82.61,79.87,81.09,75.64,69.98,80.25,76.07,74.09,75.09,72.31,79.24,78.37,74.79,76.40,70.43,100.00,79.00,77.96,83.99,79.90,75.82,82.66,77.16,83.66,78.89,77.10,73.28,75.90,82.69,81.92,78.92,81.60,73.20,70.86,78.46,72.08,77.40,77.62,73.66,82.46,79.87,79.41,71.21,81.33,80.92,76.01,72.26,75.12,78.65,74.19,79.55,80.89,81.46,75.74,79.68,79.08,77.63,78.52,78.99,75.81,73.70,68.66,72.50,75.62,75.51,75.02,75.52,77.59,74.78,77.06,76.44,72.07,71.58,77.41,80.02,78.53,81.15,80.86,69.68,74.35,61.40,53.78,73.24,71.74,49.86,77.99,66.91,66.33,77.63,61.02,78.98,61.80,70.78,67.80,66.42,69.66,69.42,62.66,66.95,71.67,55.50,77.53,79.23,58.18,64.01,66.62,57.41
Surah 24,85.41,84.45,95.33,93.96,94.31,90.52,93.88,93.33,92.34,94.15,95.35,90.30,95.81,95.27,89.62,94.59,93.27,92.08,91.06,93.37,93.83,89.91,79.00,100.00,89.55,86.30,93.78,86.35,93.99,92.72,91.69,93.94,94.01,90.03,92.38,87.34,91.80,95.80,93.48,95.61,92.69,93.91,91.29,93.72,94.17,93.28,95.77,87.06,93.35,86.23,88.04,92.61,93.37,92.20,88.69,77.77,92.43,93.99,94.43,92.79,93.86,86.29,94.07,90.86,95.71,92.11,88.55,94.06,93.52,93.00,85.71,93.46,90.80,92.51,84.82,83.41,73.59,77.81,92.59,90.35,80.56,78.90,88.93,84.91,90.28,86.37,89.08,69.94,66.39,74.59,86.77,66.52,77.14,66.70,69.74,80.35,64.08,91.22,58.46,83.96,83.27,60.70,62.41,85.57,63.35,69.84,67.96,53.63,69.89,80.23,62.10,71.44,71.57,56.07
Surah 25,85.30,82.07,92.44,90.74,88.00,92.32,88.54,88.21,90.30,91.94,90.36,85.36,91.25,90.98,82.33,91.69,91.49,92.43,91.69,90.91,90.14,83.55,77.96,89.55,100.00,82.88,89.54,87.48,89.04,91.20,88.39,90.86,91.18,92.64,92.24,82.28,91.80,91.09,91.11,89.75,86.13,91.09,86.99,90.01,91.14,89.68,90.68,85.41,88.14,83.85,81.77,87.62,91.22,85.34,90.22,76.17,92.80,90.40,92.66,86.46,90.81,91.50,87.16,92.12,88.90,91.09,91.77,90.97,86.86,90.50,84.82,89.35,86.43,89.80,86.13,84.73,69.19,80.46,85.10,86.68,77.86,73.08,82.74,86.22,83.82,87.37,87.66,65.71,66.35,74.77,84.74,64.91,80.88,66.63,66.78,84.77,67.98,86.27,62.95,84.46,79.09,58.06,60.82,81.81,60.12,70.20,69.37,50.33,69.02,81.28,68.77,77.46,71.71,59.02
Surah 26,78.85,85.00,85.48,84.34,82.72,84.06,89.36,83.31,85.37,89.29,83.21,86.38,88.12,85.33,87.16,84.59,84.29,85.13,84.16,85.93,86.66,80.49,83.99,86.30,82.88,100.00,86.93,86.78,88.25,85.86,86.99,86.09,84.53,82.36,83.13,90.75,88.96,89.46,84.94,83.74,81.95,82.85,86.92,87.57,84.66,82.76,86.01,82.22,83.54,90.82,89.93,87.74,88.02,89.13,87.16,90.14,81.85,87.13,88.75,85.23,83.15,82.87,87.61,81.22,87.28,85.89,82.72,83.47,84.62,82.42,82.02,87.57,86.15,86.72,82.11,85.40,83.75,85.27,87.31,82.48,81.94,83.09,88.14,84.38,83.39,83.32,78.90,73.00,61.74,82.16,82.35,58.01,77.86,71.53,75.42,77.90,65.76,84.71,66.91,81.28,78.25,68.89,66.15,79.31,70.32,72.97,74.24,62.89,70.12,76.83,67.42,68.95,73.57,62.62
Surah 27,85.64,89.04,93.93,92.60,93.68,90.48,93.24,94.34,92.97,95.26,93.85,92.91,95.38,94.52,91.38,95.29,93.20,91.40,91.83,94.53,94.37,87.64,79.90,93.78,89.54,86.93,100.00,87.43,94.94,93.99,95.27,94.08,94.48,92.43,93.89,89.58,91.92,94.86,93.82,94.43,94.06,94.67,93.22,94.11,95.36,94.00,92.39,87.76,92.96,87.44,84.86,92.09,92.87,91.13,91.66,77.31,92.59,93.38,94.27,93.11,94.57,89.57,93.66,91.10,92.55,93.65,88.05,94.69,92.35,92.38,86.45,92.96,91.26,91.45,84.63,81.85,72.05,79.45,91.13,91.27,78.30,76.65,88.11,85.54,87.95,87.19,89.45,68.29,64.69,73.88,86.84,66.88,79.28,62.24,69.25,84.31,62.87,92.20,59.80,84.63,84.12,62.61,60.43,87.05,57.94,72.77,71.24,52.85,72.33,79.76,64.89,72.21,71.86,55.30
